TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_L.mature,0,0,10.0,0.0,10000.0,1.0,1.0,23.30900001525879,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,1,10,10.0,0.0,10000.0,1.0,1.0,23.30900001525879,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,2,20,10.0,0.0,10000.0,1.0,1.0,23.30900001525879,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,3,30,10.0,0.0,10000.0,1.0,1.0,23.30900001525879,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,6,60,10.0,0.0,10000.0,1.0,1.0,7.039000034332275,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,7,70,10.0,0.0,10000.0,1.0,1.0,38.430999755859375,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,8,80,10.0,0.0,10000.0,1.0,1.0,38.430999755859375,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,9,90,10.0,0.0,10000.0,1.0,1.0,38.430999755859375,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,10,100,10.0,0.0,10000.0,1.0,1.0,33.72999954223633,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,11,110,10.0,0.0,10000.0,1.0,1.0,26.69099998474121,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,14,140,10.0,0.0,10000.0,1.0,1.0,8.864999771118164,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,15,150,10.0,0.0,10000.0,1.0,1.0,89.21299743652344,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,16,160,10.0,0.0,10000.0,1.0,1.0,89.21299743652344,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,17,170,10.0,0.0,10000.0,1.0,1.0,15.86299991607666,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,18,180,10.0,0.0,10000.0,1.0,1.0,15.66100025177002,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,19,190,10.0,0.0,10000.0,1.0,1.0,6.796000003814697,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,20,200,10.0,0.0,10000.0,1.0,1.0,6.796000003814697,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,21,210,10.0,0.0,10000.0,1.0,1.0,13.364999771118164,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,22,220,10.0,0.0,10000.0,1.0,1.0,11.442000389099121,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,23,230,10.0,0.0,10000.0,1.0,1.0,4.645999908447266,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,24,240,10.0,0.0,10000.0,1.0,1.0,9.607999801635742,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,25,250,10.0,0.0,10000.0,1.0,1.0,9.607999801635742,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,26,260,10.0,0.0,10000.0,1.0,1.0,2.433000087738037,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,27,270,10.0,0.0,10000.0,1.0,1.0,1.0440000295639038,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,28,280,10.0,0.0,10000.0,1.0,1.0,1.0440000295639038,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,29,290,10.0,0.0,10000.0,1.0,1.0,6.998000144958496,0.0
feature.Seral.CWHvm_FDC_HW_L.mature,30,300,10.0,0.0,10000.0,1.0,1.0,15.86299991607666,0.0
