TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,1,10,10.0,0.0,10000.0,1.0,1.0,10.354999542236328,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,2,20,10.0,0.0,10000.0,1.0,1.0,10.338000297546387,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,3,30,10.0,0.0,10000.0,1.0,1.0,15.6899995803833,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,4,40,10.0,0.0,10000.0,1.0,1.0,6.130000114440918,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,5,50,10.0,0.0,10000.0,1.0,1.0,7.413000106811523,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1.8990000486373901,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,7,70,10.0,0.0,10000.0,1.0,1.0,2.181999921798706,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,8,80,10.0,0.0,10000.0,1.0,1.0,3.938999891281128,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,9,90,10.0,0.0,10000.0,1.0,1.0,18.191999435424805,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,10,100,10.0,0.0,10000.0,1.0,1.0,8.50100040435791,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,11,110,10.0,0.0,10000.0,1.0,1.0,4.015999794006348,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,12,120,10.0,0.0,10000.0,1.0,1.0,18.659000396728516,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,13,130,10.0,0.0,10000.0,1.0,1.0,5.488999843597412,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,15,150,10.0,0.0,10000.0,1.0,1.0,6.776000022888184,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,16,160,10.0,0.0,10000.0,1.0,1.0,4.956999778747559,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,17,170,10.0,0.0,10000.0,1.0,1.0,19.2189998626709,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,18,180,10.0,0.0,10000.0,1.0,1.0,11.949999809265137,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,19,190,10.0,0.0,10000.0,1.0,1.0,15.758999824523926,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,20,200,10.0,0.0,10000.0,1.0,1.0,2.885999917984009,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,21,210,10.0,0.0,10000.0,1.0,1.0,15.843999862670898,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,22,220,10.0,0.0,10000.0,1.0,1.0,4.834000110626221,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,23,230,10.0,0.0,10000.0,1.0,1.0,5.793000221252441,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,24,240,10.0,0.0,10000.0,1.0,1.0,12.70199966430664,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,25,250,10.0,0.0,10000.0,1.0,1.0,9.98799991607666,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,26,260,10.0,0.0,10000.0,1.0,1.0,23.261999130249023,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,27,270,10.0,0.0,10000.0,1.0,1.0,11.272000312805176,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,28,280,10.0,0.0,10000.0,1.0,1.0,10.531999588012695,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1.4259999990463257,0.0
product.Logs_Grade_I.managed.CWHvm_HW_FDC_H.BA.CC,30,300,10.0,0.0,10000.0,1.0,1.0,17.267000198364258,0.0
