TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_U.cc_au.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,2631.123046875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,2994.114013671875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,3015.64794921875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,2519.8779296875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,1275.9560546875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1401.93505859375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,995.7219848632812,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,2158.077880859375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,3358.4609375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,2756.638916015625,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,1762.5589599609375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,2710.759033203125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1880.3179931640625,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,94.0469970703125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,2410.844970703125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1679.8890380859375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,3853.405029296875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,3795.173095703125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,2651.31591796875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1441.56005859375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,2913.04296875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,2857.47998046875,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,3060.052978515625,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,2290.846923828125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1660.2750244140625,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,3804.35302734375,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,2146.10400390625,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,4457.203125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1510.010986328125,0.0
product.Logs_Grade_U.cc_au.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,3887.660888671875,0.0
