TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_U.ctfert_au.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,1340.0780029296875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,2097.681884765625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,2015.032958984375,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,2516.43701171875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,5022.39697265625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,4684.259765625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,3638.571044921875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,2234.18701171875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,603.3309936523438,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,413.5820007324219,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,3284.967041015625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1154.9229736328125,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,5136.5341796875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,8619.5673828125,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,1496.571044921875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,4920.30908203125,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,990.135009765625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,793.551025390625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,477.39801025390625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,4565.5341796875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,690.8790283203125,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,2680.722900390625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,2060.51904296875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,2525.1650390625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,4280.50390625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,708.2670288085938,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,2588.06103515625,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1109.2159423828125,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,7575.216796875,0.0
product.Logs_Grade_U.ctfert_au.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,899.1209716796875,0.0
