TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,976.6749877929688,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,3068.446044921875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1193.530029296875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,424.9219970703125,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,1749.3289794921875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,2774.712890625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,1395.6529541015625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,1256.9610595703125,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,830.9080200195312,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,1942.4639892578125,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1612.1939697265625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,494.0539855957031,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,413.2489929199219,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,1088.198974609375,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1643.35595703125,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,824.6480102539062,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,596.843994140625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1084.9659423828125,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1233.8289794921875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,1800.7879638671875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,4218.498046875,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,2281.27197265625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,663.1599731445312,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1045.572021484375,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1320.345947265625,0.0
product.Logs_Grade_Value_X.managed.CWHvm_HW_FDC_L.FDC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,540.14501953125,0.0
