TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.cc_au.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,1566.3690185546875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1726.0,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1547.9599609375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,840.8070068359375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,744.1179809570312,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,675.1270141601562,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,261.4289855957031,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,689.77099609375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,1321.56494140625,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1101.8380126953125,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,1513.6240234375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,1292.928955078125,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1028.9129638671875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,955.385986328125,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,335.3290100097656,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,857.4039916992188,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,1506.16796875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,663.1669921875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,1300.551025390625,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1064.89599609375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1538.47802734375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,891.6640014648438,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1306.4990234375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,1422.6209716796875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1342.3929443359375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,1228.0159912109375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,1060.8310546875,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1384.448974609375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,818.833984375,0.0
product.Logs_Grade_X.cc_au.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,949.2020263671875,0.0
