TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,1,10,10.0,0.0,10000.0,1.0,1.0,529.2130126953125,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,2,20,10.0,0.0,10000.0,1.0,1.0,485.0740051269531,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,3,30,10.0,0.0,10000.0,1.0,1.0,57.50899887084961,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,5,50,10.0,0.0,10000.0,1.0,1.0,21.312000274658203,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,6,60,10.0,0.0,10000.0,1.0,1.0,237.5780029296875,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,9,90,10.0,0.0,10000.0,1.0,1.0,58.029998779296875,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,10,100,10.0,0.0,10000.0,1.0,1.0,301.4049987792969,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,12,120,10.0,0.0,10000.0,1.0,1.0,110.86499786376953,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,13,130,10.0,0.0,10000.0,1.0,1.0,47.26100158691406,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,15,150,10.0,0.0,10000.0,1.0,1.0,94.04499816894531,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,16,160,10.0,0.0,10000.0,1.0,1.0,87.37000274658203,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,19,190,10.0,0.0,10000.0,1.0,1.0,340.00201416015625,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,20,200,10.0,0.0,10000.0,1.0,1.0,249.30799865722656,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,21,210,10.0,0.0,10000.0,1.0,1.0,405.56201171875,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,25,250,10.0,0.0,10000.0,1.0,1.0,269.8059997558594,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,28,280,10.0,0.0,10000.0,1.0,1.0,303.8699951171875,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,29,290,10.0,0.0,10000.0,1.0,1.0,89.46199798583984,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,30,300,10.0,0.0,10000.0,1.0,1.0,492.760986328125,0.0
