TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,1,10,10.0,0.0,10000.0,1.0,1.0,149.48800659179688,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,2,20,10.0,0.0,10000.0,1.0,1.0,80.28500366210938,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,6,60,10.0,0.0,10000.0,1.0,1.0,70.1989974975586,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,10,100,10.0,0.0,10000.0,1.0,1.0,96.72200012207031,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,12,120,10.0,0.0,10000.0,1.0,1.0,23.64299964904785,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,13,130,10.0,0.0,10000.0,1.0,1.0,208.3719940185547,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,15,150,10.0,0.0,10000.0,1.0,1.0,61.183998107910156,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,17,170,10.0,0.0,10000.0,1.0,1.0,61.60300064086914,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,23,230,10.0,0.0,10000.0,1.0,1.0,87.875,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,24,240,10.0,0.0,10000.0,1.0,1.0,190.66799926757812,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,28,280,10.0,0.0,10000.0,1.0,1.0,59.58700180053711,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
