TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,710.093994140625,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,382.92401123046875,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,1059.387939453125,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,617.7930297851562,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,82.37699890136719,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,100.46800231933594,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,218.40499877929688,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,52.35200119018555,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,50.29899978637695,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,531.1229858398438,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,487.2449951171875,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,68.89199829101562,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,538.5609741210938,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,248.70399475097656,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,85.33999633789062,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,251.75999450683594,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,175.06300354003906,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,497.8429870605469,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,472.6919860839844,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.CW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,620.7639770507812,0.0
