TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,6,60,10.0,0.0,10000.0,1.0,1.0,5.105999946594238,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,7,70,10.0,0.0,10000.0,1.0,1.0,11.687000274658203,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,8,80,10.0,0.0,10000.0,1.0,1.0,460.0920104980469,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,9,90,10.0,0.0,10000.0,1.0,1.0,188.656005859375,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,14,140,10.0,0.0,10000.0,1.0,1.0,226.4340057373047,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,18,180,10.0,0.0,10000.0,1.0,1.0,282.10198974609375,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,20,200,10.0,0.0,10000.0,1.0,1.0,17.091999053955078,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,22,220,10.0,0.0,10000.0,1.0,1.0,168.3070068359375,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,23,230,10.0,0.0,10000.0,1.0,1.0,125.97200012207031,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,24,240,10.0,0.0,10000.0,1.0,1.0,257.0400085449219,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,25,250,10.0,0.0,10000.0,1.0,1.0,63.13999938964844,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,29,290,10.0,0.0,10000.0,1.0,1.0,289.3869934082031,0.0
product.Logs_Grade_U.managed.CWHvm_DR_HW_M.DR.CC,30,300,10.0,0.0,10000.0,1.0,1.0,16.167999267578125,0.0
