TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_HW_FDC_L.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,1,10,10.0,0.0,10000.0,1.0,1.0,12.854999542236328,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,2,20,10.0,0.0,10000.0,1.0,1.0,24.538999557495117,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,3,30,10.0,0.0,10000.0,1.0,1.0,5.045000076293945,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,5,50,10.0,0.0,10000.0,1.0,1.0,33.59199905395508,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,6,60,10.0,0.0,10000.0,1.0,1.0,9.70199966430664,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,8,80,10.0,0.0,10000.0,1.0,1.0,7.21999979019165,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,9,90,10.0,0.0,10000.0,1.0,1.0,2.8329999446868896,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,10,100,10.0,0.0,10000.0,1.0,1.0,19.027999877929688,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,11,110,10.0,0.0,10000.0,1.0,1.0,6.567999839782715,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,12,120,10.0,0.0,10000.0,1.0,1.0,3.618000030517578,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,13,130,10.0,0.0,10000.0,1.0,1.0,14.154999732971191,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,14,140,10.0,0.0,10000.0,1.0,1.0,35.21099853515625,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,15,150,10.0,0.0,10000.0,1.0,1.0,7.697000026702881,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,16,160,10.0,0.0,10000.0,1.0,1.0,4.2829999923706055,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,17,170,10.0,0.0,10000.0,1.0,1.0,12.472000122070312,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.24400000274181366,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,21,210,10.0,0.0,10000.0,1.0,1.0,5.954999923706055,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,22,220,10.0,0.0,10000.0,1.0,1.0,4.953999996185303,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,23,230,10.0,0.0,10000.0,1.0,1.0,54.30099868774414,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,24,240,10.0,0.0,10000.0,1.0,1.0,9.949999809265137,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,25,250,10.0,0.0,10000.0,1.0,1.0,26.19700050354004,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,26,260,10.0,0.0,10000.0,1.0,1.0,7.290999889373779,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,29,290,10.0,0.0,10000.0,1.0,1.0,7.427000045776367,0.0
product.Treated.managed.CWHvm_HW_FDC_L.CC,30,300,10.0,0.0,10000.0,1.0,1.0,8.840999603271484,0.0
