TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_H.overmature,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,3,30,10.0,0.0,10000.0,1.0,1.0,5.8979997634887695,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,4,40,10.0,0.0,10000.0,1.0,1.0,82.53199768066406,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,5,50,10.0,0.0,10000.0,1.0,1.0,132.38499450683594,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,6,60,10.0,0.0,10000.0,1.0,1.0,93.16200256347656,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,7,70,10.0,0.0,10000.0,1.0,1.0,93.16200256347656,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,8,80,10.0,0.0,10000.0,1.0,1.0,60.470001220703125,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,9,90,10.0,0.0,10000.0,1.0,1.0,45.28099822998047,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,10,100,10.0,0.0,10000.0,1.0,1.0,45.28099822998047,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,11,110,10.0,0.0,10000.0,1.0,1.0,41.90800094604492,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,12,120,10.0,0.0,10000.0,1.0,1.0,36.42300033569336,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,13,130,10.0,0.0,10000.0,1.0,1.0,36.42300033569336,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,14,140,10.0,0.0,10000.0,1.0,1.0,36.42300033569336,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,15,150,10.0,0.0,10000.0,1.0,1.0,37.68600082397461,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,16,160,10.0,0.0,10000.0,1.0,1.0,37.68600082397461,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,17,170,10.0,0.0,10000.0,1.0,1.0,31.591999053955078,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,18,180,10.0,0.0,10000.0,1.0,1.0,49.183998107910156,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,19,190,10.0,0.0,10000.0,1.0,1.0,56.058998107910156,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,20,200,10.0,0.0,10000.0,1.0,1.0,33.70199966430664,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,21,210,10.0,0.0,10000.0,1.0,1.0,33.70199966430664,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,22,220,10.0,0.0,10000.0,1.0,1.0,33.70199966430664,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,23,230,10.0,0.0,10000.0,1.0,1.0,49.91299819946289,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,24,240,10.0,0.0,10000.0,1.0,1.0,49.91299819946289,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,25,250,10.0,0.0,10000.0,1.0,1.0,87.947998046875,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,26,260,10.0,0.0,10000.0,1.0,1.0,68.36399841308594,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,27,270,10.0,0.0,10000.0,1.0,1.0,74.45800018310547,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,28,280,10.0,0.0,10000.0,1.0,1.0,74.45800018310547,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,29,290,10.0,0.0,10000.0,1.0,1.0,43.29800033569336,0.0
feature.Seral.CWHvm_FDC_HW_H.overmature,30,300,10.0,0.0,10000.0,1.0,1.0,48.78300094604492,0.0
