TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,1683.58203125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,401.52301025390625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,19.87700080871582,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,134.35000610351562,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,548.1519775390625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,102.52100372314453,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,622.9580078125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,66.62999725341797,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,410.02099609375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,183.3249969482422,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,89.79900360107422,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1225.60400390625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,27.072999954223633,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,54.50299835205078,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,499.82000732421875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,19.636999130249023,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,183.3249969482422,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,519.4180297851562,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,102.52100372314453,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_CW_H.YC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
