TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,1,10,10.0,0.0,10000.0,1.0,1.0,3.1459999084472656,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,2,20,10.0,0.0,10000.0,1.0,1.0,4.374000072479248,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,3,30,10.0,0.0,10000.0,1.0,1.0,4.249000072479248,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,6,60,10.0,0.0,10000.0,1.0,1.0,10.409000396728516,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.3179999887943268,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,10,100,10.0,0.0,10000.0,1.0,1.0,3.674999952316284,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,11,110,10.0,0.0,10000.0,1.0,1.0,2.868000030517578,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,12,120,10.0,0.0,10000.0,1.0,1.0,2.428999900817871,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,15,150,10.0,0.0,10000.0,1.0,1.0,2.0439999103546143,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,16,160,10.0,0.0,10000.0,1.0,1.0,6.382999897003174,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,19,190,10.0,0.0,10000.0,1.0,1.0,3.559999942779541,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1.7009999752044678,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,21,210,10.0,0.0,10000.0,1.0,1.0,3.4739999771118164,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,22,220,10.0,0.0,10000.0,1.0,1.0,4.461999893188477,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,23,230,10.0,0.0,10000.0,1.0,1.0,1.0490000247955322,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,27,270,10.0,0.0,10000.0,1.0,1.0,6.513999938964844,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1.2170000076293945,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,29,290,10.0,0.0,10000.0,1.0,1.0,2.9149999618530273,0.0
product.Logs_Grade_I.managed.CWHvm_HW_CW_H.DR.CC,30,300,10.0,0.0,10000.0,1.0,1.0,5.098999977111816,0.0
