TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,1,10,10.0,0.0,10000.0,1.0,1.0,6.318999767303467,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1.9149999618530273,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,3,30,10.0,0.0,10000.0,1.0,1.0,3.805000066757202,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,4,40,10.0,0.0,10000.0,1.0,1.0,2.364000082015991,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1.8220000267028809,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,8,80,10.0,0.0,10000.0,1.0,1.0,3.5369999408721924,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,9,90,10.0,0.0,10000.0,1.0,1.0,4.553999900817871,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,10,100,10.0,0.0,10000.0,1.0,1.0,3.805000066757202,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,12,120,10.0,0.0,10000.0,1.0,1.0,3.515000104904175,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,13,130,10.0,0.0,10000.0,1.0,1.0,1.2640000581741333,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,14,140,10.0,0.0,10000.0,1.0,1.0,10.027000427246094,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,15,150,10.0,0.0,10000.0,1.0,1.0,1.0549999475479126,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.19200000166893005,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,18,180,10.0,0.0,10000.0,1.0,1.0,2.99399995803833,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,20,200,10.0,0.0,10000.0,1.0,1.0,5.519999980926514,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,21,210,10.0,0.0,10000.0,1.0,1.0,6.464000225067139,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,22,220,10.0,0.0,10000.0,1.0,1.0,4.425000190734863,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,23,230,10.0,0.0,10000.0,1.0,1.0,5.925000190734863,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,24,240,10.0,0.0,10000.0,1.0,1.0,7.560999870300293,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.4490000009536743,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,26,260,10.0,0.0,10000.0,1.0,1.0,1.190999984741211,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,27,270,10.0,0.0,10000.0,1.0,1.0,2.99399995803833,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.12800000607967377,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,29,290,10.0,0.0,10000.0,1.0,1.0,2.799999952316284,0.0
product.Logs_Grade_X.managed.CWHvm_HW_FDC_L.DR.CC,30,300,10.0,0.0,10000.0,1.0,1.0,11.251999855041504,0.0
