TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.Total.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.14499999582767487,0.0
product.Logs_Grade_X.managed.Total.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,5,50,10.0,0.0,10000.0,1.0,1.0,90.3759994506836,0.0
product.Logs_Grade_X.managed.Total.CT,6,60,10.0,0.0,10000.0,1.0,1.0,84.28500366210938,0.0
product.Logs_Grade_X.managed.Total.CT,7,70,10.0,0.0,10000.0,1.0,1.0,111.49500274658203,0.0
product.Logs_Grade_X.managed.Total.CT,8,80,10.0,0.0,10000.0,1.0,1.0,132.13699340820312,0.0
product.Logs_Grade_X.managed.Total.CT,9,90,10.0,0.0,10000.0,1.0,1.0,188.17300415039062,0.0
product.Logs_Grade_X.managed.Total.CT,10,100,10.0,0.0,10000.0,1.0,1.0,235.89700317382812,0.0
product.Logs_Grade_X.managed.Total.CT,11,110,10.0,0.0,10000.0,1.0,1.0,366.3659973144531,0.0
product.Logs_Grade_X.managed.Total.CT,12,120,10.0,0.0,10000.0,1.0,1.0,272.6610107421875,0.0
product.Logs_Grade_X.managed.Total.CT,13,130,10.0,0.0,10000.0,1.0,1.0,134.44500732421875,0.0
product.Logs_Grade_X.managed.Total.CT,14,140,10.0,0.0,10000.0,1.0,1.0,80.56099700927734,0.0
product.Logs_Grade_X.managed.Total.CT,15,150,10.0,0.0,10000.0,1.0,1.0,47.74399948120117,0.0
product.Logs_Grade_X.managed.Total.CT,16,160,10.0,0.0,10000.0,1.0,1.0,90.96199798583984,0.0
product.Logs_Grade_X.managed.Total.CT,17,170,10.0,0.0,10000.0,1.0,1.0,121.99400329589844,0.0
product.Logs_Grade_X.managed.Total.CT,18,180,10.0,0.0,10000.0,1.0,1.0,289.2770080566406,0.0
product.Logs_Grade_X.managed.Total.CT,19,190,10.0,0.0,10000.0,1.0,1.0,82.51399993896484,0.0
product.Logs_Grade_X.managed.Total.CT,20,200,10.0,0.0,10000.0,1.0,1.0,125.78800201416016,0.0
product.Logs_Grade_X.managed.Total.CT,21,210,10.0,0.0,10000.0,1.0,1.0,11.0649995803833,0.0
product.Logs_Grade_X.managed.Total.CT,22,220,10.0,0.0,10000.0,1.0,1.0,98.16000366210938,0.0
product.Logs_Grade_X.managed.Total.CT,23,230,10.0,0.0,10000.0,1.0,1.0,135.76199340820312,0.0
product.Logs_Grade_X.managed.Total.CT,24,240,10.0,0.0,10000.0,1.0,1.0,82.88500213623047,0.0
product.Logs_Grade_X.managed.Total.CT,25,250,10.0,0.0,10000.0,1.0,1.0,242.47300720214844,0.0
product.Logs_Grade_X.managed.Total.CT,26,260,10.0,0.0,10000.0,1.0,1.0,194.95799255371094,0.0
product.Logs_Grade_X.managed.Total.CT,27,270,10.0,0.0,10000.0,1.0,1.0,125.99500274658203,0.0
product.Logs_Grade_X.managed.Total.CT,28,280,10.0,0.0,10000.0,1.0,1.0,112.1500015258789,0.0
product.Logs_Grade_X.managed.Total.CT,29,290,10.0,0.0,10000.0,1.0,1.0,129.5449981689453,0.0
product.Logs_Grade_X.managed.Total.CT,30,300,10.0,0.0,10000.0,1.0,1.0,38.9739990234375,0.0
