TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.08799999952316284,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.15399999916553497,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.16300000250339508,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0010000000474974513,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,9,90,10.0,0.0,10000.0,1.0,1.0,0.5580000281333923,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.16200000047683716,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.039000000804662704,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.10100000351667404,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.8809999823570251,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.18799999356269836,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.20499999821186066,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.006000000052154064,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.16200000047683716,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.5580000281333923,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.5450000166893005,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.09300000220537186,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.012000000104308128,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.5199999809265137,0.0
product.Logs_Grade_U.managed.CWHvm_CW_HW_M.SS.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.04100000113248825,0.0
