TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,212711.21875,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,60866.92578125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,203277.828125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,45329.5390625,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,155011.15625,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,131892.515625,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,15034.482421875,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,171538.609375,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,12910.6103515625,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,39826.2109375,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,152798.109375,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,342994.75,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,148881.484375,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,153463.171875,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,92753.8828125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,298192.125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,33929.92578125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,63637.90625,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,246029.609375,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,138974.046875,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,92019.125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,139829.125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,34742.36328125,0.0
product.Logs_Grade_Value_J.managed.CWHvm_FDC_HW_H.CW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,441280.5625,0.0
