TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.QMD.managed.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,26.465999603271484,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,27.09000015258789,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,25.22599983215332,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,25.983999252319336,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,27.115999221801758,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,23.466999053955078,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,16.628999710083008,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,16.107999801635742,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,17.334999084472656,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,20.680999755859375,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,19.13800048828125,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,20.256999969482422,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,21.13800048828125,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,18.43000030517578,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,16.52400016784668,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,16.61199951171875,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,18.90399932861328,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,17.246000289916992,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,20.13800048828125,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,22.167999267578125,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,22.41200065612793,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,21.173999786376953,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,20.10700035095215,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,13.821999549865723,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,14.447999954223633,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,18.854000091552734,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,22.10300064086914,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,21.31999969482422,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,22.756000518798828,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,21.040000915527344,0.0
feature.QMD.managed.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,18.55500030517578,0.0
