TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.cc_au.managed.Total.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,1,10,10.0,0.0,10000.0,1.0,1.0,30862.2109375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,2,20,10.0,0.0,10000.0,1.0,1.0,38320.30078125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,3,30,10.0,0.0,10000.0,1.0,1.0,15700.158203125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,4,40,10.0,0.0,10000.0,1.0,1.0,25483.970703125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,5,50,10.0,0.0,10000.0,1.0,1.0,20726.826171875,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,6,60,10.0,0.0,10000.0,1.0,1.0,30573.22265625,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,7,70,10.0,0.0,10000.0,1.0,1.0,16669.40625,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,8,80,10.0,0.0,10000.0,1.0,1.0,17407.0703125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,9,90,10.0,0.0,10000.0,1.0,1.0,39845.33203125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,10,100,10.0,0.0,10000.0,1.0,1.0,21699.759765625,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,11,110,10.0,0.0,10000.0,1.0,1.0,26222.029296875,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,12,120,10.0,0.0,10000.0,1.0,1.0,23313.111328125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,13,130,10.0,0.0,10000.0,1.0,1.0,24203.7578125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,14,140,10.0,0.0,10000.0,1.0,1.0,27730.2890625,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,15,150,10.0,0.0,10000.0,1.0,1.0,8193.9189453125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,16,160,10.0,0.0,10000.0,1.0,1.0,14835.26953125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,17,170,10.0,0.0,10000.0,1.0,1.0,34109.19921875,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,18,180,10.0,0.0,10000.0,1.0,1.0,28152.130859375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,19,190,10.0,0.0,10000.0,1.0,1.0,45014.7734375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,20,200,10.0,0.0,10000.0,1.0,1.0,28838.91796875,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,21,210,10.0,0.0,10000.0,1.0,1.0,22799.48828125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,22,220,10.0,0.0,10000.0,1.0,1.0,29762.818359375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,23,230,10.0,0.0,10000.0,1.0,1.0,45004.43359375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,24,240,10.0,0.0,10000.0,1.0,1.0,23605.505859375,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,25,250,10.0,0.0,10000.0,1.0,1.0,29873.166015625,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,26,260,10.0,0.0,10000.0,1.0,1.0,24545.126953125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,27,270,10.0,0.0,10000.0,1.0,1.0,30667.1796875,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,28,280,10.0,0.0,10000.0,1.0,1.0,33900.453125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,29,290,10.0,0.0,10000.0,1.0,1.0,18814.33203125,0.0
product.Logs_Grade_J.cc_au.managed.Total.CC,30,300,10.0,0.0,10000.0,1.0,1.0,34987.640625,0.0
