TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,5,50,10.0,0.0,10000.0,1.0,1.0,173.08999633789062,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,6,60,10.0,0.0,10000.0,1.0,1.0,243.05499267578125,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,7,70,10.0,0.0,10000.0,1.0,1.0,286.92401123046875,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,8,80,10.0,0.0,10000.0,1.0,1.0,1847.4169921875,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,9,90,10.0,0.0,10000.0,1.0,1.0,502.1730041503906,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,13,130,10.0,0.0,10000.0,1.0,1.0,662.1380004882812,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,16,160,10.0,0.0,10000.0,1.0,1.0,173.08999633789062,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,18,180,10.0,0.0,10000.0,1.0,1.0,1640.6009521484375,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,19,190,10.0,0.0,10000.0,1.0,1.0,50.07500076293945,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,20,200,10.0,0.0,10000.0,1.0,1.0,665.0830078125,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,24,240,10.0,0.0,10000.0,1.0,1.0,473.1860046386719,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,26,260,10.0,0.0,10000.0,1.0,1.0,170.7469940185547,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,27,270,10.0,0.0,10000.0,1.0,1.0,815.2650146484375,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,28,280,10.0,0.0,10000.0,1.0,1.0,243.71299743652344,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1188.5040283203125,0.0
product.Logs_Grade_J.managed.CWHvm_DR_HW_M.DR.CC,30,300,10.0,0.0,10000.0,1.0,1.0,889.5130004882812,0.0
