TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,2179.7939453125,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,1189.654052734375,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,44.55099868774414,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,637.719970703125,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,1111.5169677734375,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,1729.926025390625,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,130.22300720214844,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,874.989990234375,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,891.6530151367188,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,446.9049987792969,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,130.92599487304688,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,875.6599731445312,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,308.5950012207031,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1140.08203125,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,826.1790161132812,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,928.9310302734375,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,59.11899948120117,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,983.0590209960938,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,303.5880126953125,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1148.7239990234375,0.0
product.Logs_Grade_J.managed.CWHvm_HW_CW_H.CW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,777.8660278320312,0.0
