TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,566609.4375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,701335.3125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,754065.1875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,1130845.125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,293676.25,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,613104.8125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,141036.25,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,405999.96875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,847543.6875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,812639.1875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,823287.5625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,768441.4375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,851849.125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,1002778.375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,406079.3125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,245526.46875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,641333.625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,980311.8125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,1102648.625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,1058407.375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,676019.3125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,344820.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,120876.7734375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,734166.9375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,888447.5625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,502442.5625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,1201575.75,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,1151376.125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,786739.9375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_FDC_H.HW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,788379.5,0.0
