TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,19.72100067138672,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,6.940999984741211,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,46.08100128173828,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,1.7630000114440918,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,31.347999572753906,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,1.7619999647140503,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,8.498000144958496,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,1.1629999876022339,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,5.170000076293945,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,8.5,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,1.7630000114440918,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,1.2929999828338623,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,1.3880000114440918,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,41.448001861572266,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,17.371000289916992,0.0
product.Logs_Grade_Value_U.managed.CWHvm_CW_HW_M.PLC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
