TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_FDC_HW_L,0,0,10.0,0.0,10000.0,1.0,1.0,10.178999900817871,0.0
feature.Area.og1.CWHvm_FDC_HW_L,1,10,10.0,0.0,10000.0,1.0,1.0,0.7459999918937683,0.0
feature.Area.og1.CWHvm_FDC_HW_L,2,20,10.0,0.0,10000.0,1.0,1.0,2.2929999828338623,0.0
feature.Area.og1.CWHvm_FDC_HW_L,3,30,10.0,0.0,10000.0,1.0,1.0,4.501999855041504,0.0
feature.Area.og1.CWHvm_FDC_HW_L,4,40,10.0,0.0,10000.0,1.0,1.0,6.710999965667725,0.0
feature.Area.og1.CWHvm_FDC_HW_L,5,50,10.0,0.0,10000.0,1.0,1.0,8.920000076293945,0.0
feature.Area.og1.CWHvm_FDC_HW_L,6,60,10.0,0.0,10000.0,1.0,1.0,11.130999565124512,0.0
feature.Area.og1.CWHvm_FDC_HW_L,7,70,10.0,0.0,10000.0,1.0,1.0,6.691999912261963,0.0
feature.Area.og1.CWHvm_FDC_HW_L,8,80,10.0,0.0,10000.0,1.0,1.0,7.004000186920166,0.0
feature.Area.og1.CWHvm_FDC_HW_L,9,90,10.0,0.0,10000.0,1.0,1.0,17.198999404907227,0.0
feature.Area.og1.CWHvm_FDC_HW_L,10,100,10.0,0.0,10000.0,1.0,1.0,33.8650016784668,0.0
feature.Area.og1.CWHvm_FDC_HW_L,11,110,10.0,0.0,10000.0,1.0,1.0,51.43199920654297,0.0
feature.Area.og1.CWHvm_FDC_HW_L,12,120,10.0,0.0,10000.0,1.0,1.0,67.23500061035156,0.0
feature.Area.og1.CWHvm_FDC_HW_L,13,130,10.0,0.0,10000.0,1.0,1.0,84.1510009765625,0.0
feature.Area.og1.CWHvm_FDC_HW_L,14,140,10.0,0.0,10000.0,1.0,1.0,101.06300354003906,0.0
feature.Area.og1.CWHvm_FDC_HW_L,15,150,10.0,0.0,10000.0,1.0,1.0,107.78199768066406,0.0
feature.Area.og1.CWHvm_FDC_HW_L,16,160,10.0,0.0,10000.0,1.0,1.0,108.48699951171875,0.0
feature.Area.og1.CWHvm_FDC_HW_L,17,170,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,18,180,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,19,190,10.0,0.0,10000.0,1.0,1.0,28.29400062561035,0.0
feature.Area.og1.CWHvm_FDC_HW_L,20,200,10.0,0.0,10000.0,1.0,1.0,28.809999465942383,0.0
feature.Area.og1.CWHvm_FDC_HW_L,21,210,10.0,0.0,10000.0,1.0,1.0,30.260000228881836,0.0
feature.Area.og1.CWHvm_FDC_HW_L,22,220,10.0,0.0,10000.0,1.0,1.0,30.238000869750977,0.0
feature.Area.og1.CWHvm_FDC_HW_L,23,230,10.0,0.0,10000.0,1.0,1.0,31.405000686645508,0.0
feature.Area.og1.CWHvm_FDC_HW_L,24,240,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,25,250,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,26,260,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,27,270,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,28,280,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,29,290,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
feature.Area.og1.CWHvm_FDC_HW_L,30,300,10.0,0.0,10000.0,1.0,1.0,28.138999938964844,0.0
