TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,1,10,10.0,0.0,10000.0,1.0,1.0,1.097000002861023,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,2,20,10.0,0.0,10000.0,1.0,1.0,4.238999843597412,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,3,30,10.0,0.0,10000.0,1.0,1.0,9.475000381469727,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,4,40,10.0,0.0,10000.0,1.0,1.0,3.9170000553131104,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,6,60,10.0,0.0,10000.0,1.0,1.0,3.7079999446868896,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,8,80,10.0,0.0,10000.0,1.0,1.0,3.867000102996826,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,9,90,10.0,0.0,10000.0,1.0,1.0,3.0199999809265137,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,10,100,10.0,0.0,10000.0,1.0,1.0,4.684000015258789,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,11,110,10.0,0.0,10000.0,1.0,1.0,3.5810000896453857,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,12,120,10.0,0.0,10000.0,1.0,1.0,8.666999816894531,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,15,150,10.0,0.0,10000.0,1.0,1.0,13.057000160217285,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,16,160,10.0,0.0,10000.0,1.0,1.0,2.440999984741211,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,18,180,10.0,0.0,10000.0,1.0,1.0,7.909999847412109,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,20,200,10.0,0.0,10000.0,1.0,1.0,2.552000045776367,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,21,210,10.0,0.0,10000.0,1.0,1.0,11.152999877929688,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,22,220,10.0,0.0,10000.0,1.0,1.0,1.8279999494552612,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,24,240,10.0,0.0,10000.0,1.0,1.0,2.359999895095825,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,25,250,10.0,0.0,10000.0,1.0,1.0,4.665999889373779,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,26,260,10.0,0.0,10000.0,1.0,1.0,7.664000034332275,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,27,270,10.0,0.0,10000.0,1.0,1.0,1.6460000276565552,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,28,280,10.0,0.0,10000.0,1.0,1.0,3.5179998874664307,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,29,290,10.0,0.0,10000.0,1.0,1.0,2.7209999561309814,0.0
product.Logs_Grade_I.managed.CWHvm_FDC_HW_H.BA.CC,30,300,10.0,0.0,10000.0,1.0,1.0,7.459000110626221,0.0
