TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,10846.7841796875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,72100.59375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,148565.890625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,67894.03125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,36449.35546875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,33015.1328125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,46914.66015625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,63243.390625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,49533.0390625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,117298.3828125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,95580.9453125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,23757.880859375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,111501.6171875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,29061.521484375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,119012.3671875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,17644.94921875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,28459.130859375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,63063.1171875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,74440.1640625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,17793.11328125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,53553.46875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,29416.041015625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_FDC_HW_H.FDC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,81920.3359375,0.0
