TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,1,10,10.0,0.0,10000.0,1.0,1.0,6805.3828125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,2,20,10.0,0.0,10000.0,1.0,1.0,35861.4453125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,3,30,10.0,0.0,10000.0,1.0,1.0,31718.837890625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,4,40,10.0,0.0,10000.0,1.0,1.0,47715.48828125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,5,50,10.0,0.0,10000.0,1.0,1.0,9641.8662109375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,6,60,10.0,0.0,10000.0,1.0,1.0,27037.12109375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,7,70,10.0,0.0,10000.0,1.0,1.0,1541.844970703125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,8,80,10.0,0.0,10000.0,1.0,1.0,17980.8828125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,9,90,10.0,0.0,10000.0,1.0,1.0,36799.8515625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,10,100,10.0,0.0,10000.0,1.0,1.0,36764.05859375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,11,110,10.0,0.0,10000.0,1.0,1.0,35822.0,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,12,120,10.0,0.0,10000.0,1.0,1.0,32849.76171875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,13,130,10.0,0.0,10000.0,1.0,1.0,36069.6796875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,14,140,10.0,0.0,10000.0,1.0,1.0,42403.859375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,15,150,10.0,0.0,10000.0,1.0,1.0,17203.880859375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,16,160,10.0,0.0,10000.0,1.0,1.0,11231.5517578125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,17,170,10.0,0.0,10000.0,1.0,1.0,28217.185546875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,18,180,10.0,0.0,10000.0,1.0,1.0,42570.515625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,19,190,10.0,0.0,10000.0,1.0,1.0,49514.14453125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,20,200,10.0,0.0,10000.0,1.0,1.0,45361.34765625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,21,210,10.0,0.0,10000.0,1.0,1.0,28557.294921875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,22,220,10.0,0.0,10000.0,1.0,1.0,14631.0712890625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,23,230,10.0,0.0,10000.0,1.0,1.0,5391.44091796875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,24,240,10.0,0.0,10000.0,1.0,1.0,29813.2578125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,25,250,10.0,0.0,10000.0,1.0,1.0,40377.5625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,26,260,10.0,0.0,10000.0,1.0,1.0,21401.91015625,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,27,270,10.0,0.0,10000.0,1.0,1.0,51593.04296875,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,28,280,10.0,0.0,10000.0,1.0,1.0,49397.18359375,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,29,290,10.0,0.0,10000.0,1.0,1.0,34400.30078125,0.0
product.Logs_Grade_Value_U.managed.CWHvm_HW_FDC_H.CW.CC,30,300,10.0,0.0,10000.0,1.0,1.0,33803.53125,0.0
