TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,5,50,10.0,0.0,10000.0,1.0,1.0,42.65399932861328,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,6,60,10.0,0.0,10000.0,1.0,1.0,66.50700378417969,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,7,70,10.0,0.0,10000.0,1.0,1.0,487.7099914550781,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,8,80,10.0,0.0,10000.0,1.0,1.0,230.0189971923828,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,9,90,10.0,0.0,10000.0,1.0,1.0,5.27400016784668,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,10,100,10.0,0.0,10000.0,1.0,1.0,129.13299560546875,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,16,160,10.0,0.0,10000.0,1.0,1.0,103.4229965209961,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,17,170,10.0,0.0,10000.0,1.0,1.0,7.3420000076293945,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,18,180,10.0,0.0,10000.0,1.0,1.0,160.22300720214844,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,19,190,10.0,0.0,10000.0,1.0,1.0,294.77099609375,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,21,210,10.0,0.0,10000.0,1.0,1.0,9.616999626159668,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,22,220,10.0,0.0,10000.0,1.0,1.0,190.5260009765625,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,24,240,10.0,0.0,10000.0,1.0,1.0,204.14500427246094,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,26,260,10.0,0.0,10000.0,1.0,1.0,58.98899841308594,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,27,270,10.0,0.0,10000.0,1.0,1.0,50.36899948120117,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,29,290,10.0,0.0,10000.0,1.0,1.0,435.68798828125,0.0
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
