TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.StemsPerHa.managed.CWHvm_CW_HW_M,0,0,10.0,0.0,10000.0,1.0,1.0,112.53099822998047,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,1,10,10.0,0.0,10000.0,1.0,1.0,112.08300018310547,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,2,20,10.0,0.0,10000.0,1.0,1.0,112.08300018310547,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,3,30,10.0,0.0,10000.0,1.0,1.0,112.08300018310547,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,4,40,10.0,0.0,10000.0,1.0,1.0,112.08300018310547,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,5,50,10.0,0.0,10000.0,1.0,1.0,103.82499694824219,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,6,60,10.0,0.0,10000.0,1.0,1.0,100.66400146484375,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,7,70,10.0,0.0,10000.0,1.0,1.0,100.59100341796875,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,8,80,10.0,0.0,10000.0,1.0,1.0,100.59100341796875,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,9,90,10.0,0.0,10000.0,1.0,1.0,100.59100341796875,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,10,100,10.0,0.0,10000.0,1.0,1.0,87.64700317382812,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,11,110,10.0,0.0,10000.0,1.0,1.0,93.20600128173828,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,12,120,10.0,0.0,10000.0,1.0,1.0,85.79499816894531,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,13,130,10.0,0.0,10000.0,1.0,1.0,87.05899810791016,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,14,140,10.0,0.0,10000.0,1.0,1.0,86.94999694824219,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,15,150,10.0,0.0,10000.0,1.0,1.0,88.24299621582031,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,16,160,10.0,0.0,10000.0,1.0,1.0,88.31600189208984,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,17,170,10.0,0.0,10000.0,1.0,1.0,98.7699966430664,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,18,180,10.0,0.0,10000.0,1.0,1.0,104.5989990234375,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,19,190,10.0,0.0,10000.0,1.0,1.0,103.30599975585938,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,20,200,10.0,0.0,10000.0,1.0,1.0,103.23300170898438,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,21,210,10.0,0.0,10000.0,1.0,1.0,92.77899932861328,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,22,220,10.0,0.0,10000.0,1.0,1.0,92.40599822998047,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,23,230,10.0,0.0,10000.0,1.0,1.0,92.40599822998047,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,24,240,10.0,0.0,10000.0,1.0,1.0,92.40599822998047,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,25,250,10.0,0.0,10000.0,1.0,1.0,93.97699737548828,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,26,260,10.0,0.0,10000.0,1.0,1.0,89.25800323486328,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,27,270,10.0,0.0,10000.0,1.0,1.0,90.56199645996094,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,28,280,10.0,0.0,10000.0,1.0,1.0,90.63500213623047,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,29,290,10.0,0.0,10000.0,1.0,1.0,82.62200164794922,0.0
feature.StemsPerHa.managed.CWHvm_CW_HW_M,30,300,10.0,0.0,10000.0,1.0,1.0,81.21700286865234,0.0
