TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,1,10,10.0,0.0,10000.0,1.0,1.0,4349.8701171875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,2,20,10.0,0.0,10000.0,1.0,1.0,2091.1201171875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,3,30,10.0,0.0,10000.0,1.0,1.0,335.84100341796875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,4,40,10.0,0.0,10000.0,1.0,1.0,496.4549865722656,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,6,60,10.0,0.0,10000.0,1.0,1.0,1353.6259765625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,7,70,10.0,0.0,10000.0,1.0,1.0,157.84300231933594,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,9,90,10.0,0.0,10000.0,1.0,1.0,3232.861083984375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,10,100,10.0,0.0,10000.0,1.0,1.0,1763.5830078125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,11,110,10.0,0.0,10000.0,1.0,1.0,2105.135009765625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,13,130,10.0,0.0,10000.0,1.0,1.0,3041.742919921875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,14,140,10.0,0.0,10000.0,1.0,1.0,2529.284912109375,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,15,150,10.0,0.0,10000.0,1.0,1.0,115.06300354003906,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,16,160,10.0,0.0,10000.0,1.0,1.0,1017.4169921875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,18,180,10.0,0.0,10000.0,1.0,1.0,173.45799255371094,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,20,200,10.0,0.0,10000.0,1.0,1.0,6662.68798828125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,24,240,10.0,0.0,10000.0,1.0,1.0,7799.93603515625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,25,250,10.0,0.0,10000.0,1.0,1.0,3393.405029296875,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,26,260,10.0,0.0,10000.0,1.0,1.0,2471.4150390625,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,27,270,10.0,0.0,10000.0,1.0,1.0,107.45600128173828,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,29,290,10.0,0.0,10000.0,1.0,1.0,1433.2139892578125,0.0
product.Logs_Grade_Value_I.managed.CWHvm_HW_CW_M.YC.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
