TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Logs_Grade_X.managed.Total.CT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,1,10,10.0,0.0,10000.0,1.0,1.0,0.14499999582767487,0.0
product.Logs_Grade_X.managed.Total.CT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Logs_Grade_X.managed.Total.CT,5,50,10.0,0.0,10000.0,1.0,1.0,56.31800079345703,0.0
product.Logs_Grade_X.managed.Total.CT,6,60,10.0,0.0,10000.0,1.0,1.0,109.7040023803711,0.0
product.Logs_Grade_X.managed.Total.CT,7,70,10.0,0.0,10000.0,1.0,1.0,183.447998046875,0.0
product.Logs_Grade_X.managed.Total.CT,8,80,10.0,0.0,10000.0,1.0,1.0,172.82899475097656,0.0
product.Logs_Grade_X.managed.Total.CT,9,90,10.0,0.0,10000.0,1.0,1.0,369.49200439453125,0.0
product.Logs_Grade_X.managed.Total.CT,10,100,10.0,0.0,10000.0,1.0,1.0,94.25800323486328,0.0
product.Logs_Grade_X.managed.Total.CT,11,110,10.0,0.0,10000.0,1.0,1.0,94.10399627685547,0.0
product.Logs_Grade_X.managed.Total.CT,12,120,10.0,0.0,10000.0,1.0,1.0,93.43399810791016,0.0
product.Logs_Grade_X.managed.Total.CT,13,130,10.0,0.0,10000.0,1.0,1.0,91.22599792480469,0.0
product.Logs_Grade_X.managed.Total.CT,14,140,10.0,0.0,10000.0,1.0,1.0,102.36699676513672,0.0
product.Logs_Grade_X.managed.Total.CT,15,150,10.0,0.0,10000.0,1.0,1.0,117.91899871826172,0.0
product.Logs_Grade_X.managed.Total.CT,16,160,10.0,0.0,10000.0,1.0,1.0,304.26800537109375,0.0
product.Logs_Grade_X.managed.Total.CT,17,170,10.0,0.0,10000.0,1.0,1.0,272.6610107421875,0.0
product.Logs_Grade_X.managed.Total.CT,18,180,10.0,0.0,10000.0,1.0,1.0,138.468994140625,0.0
product.Logs_Grade_X.managed.Total.CT,19,190,10.0,0.0,10000.0,1.0,1.0,242.89300537109375,0.0
product.Logs_Grade_X.managed.Total.CT,20,200,10.0,0.0,10000.0,1.0,1.0,233.8300018310547,0.0
product.Logs_Grade_X.managed.Total.CT,21,210,10.0,0.0,10000.0,1.0,1.0,28.73200035095215,0.0
product.Logs_Grade_X.managed.Total.CT,22,220,10.0,0.0,10000.0,1.0,1.0,78.88700103759766,0.0
product.Logs_Grade_X.managed.Total.CT,23,230,10.0,0.0,10000.0,1.0,1.0,94.31900024414062,0.0
product.Logs_Grade_X.managed.Total.CT,24,240,10.0,0.0,10000.0,1.0,1.0,61.696998596191406,0.0
product.Logs_Grade_X.managed.Total.CT,25,250,10.0,0.0,10000.0,1.0,1.0,273.302001953125,0.0
product.Logs_Grade_X.managed.Total.CT,26,260,10.0,0.0,10000.0,1.0,1.0,60.2130012512207,0.0
product.Logs_Grade_X.managed.Total.CT,27,270,10.0,0.0,10000.0,1.0,1.0,96.83100128173828,0.0
product.Logs_Grade_X.managed.Total.CT,28,280,10.0,0.0,10000.0,1.0,1.0,109.5199966430664,0.0
product.Logs_Grade_X.managed.Total.CT,29,290,10.0,0.0,10000.0,1.0,1.0,93.62899780273438,0.0
product.Logs_Grade_X.managed.Total.CT,30,300,10.0,0.0,10000.0,1.0,1.0,81.30799865722656,0.0
