CURVE,X,Y
210,0,0.1
269,0,0.13
461,0,0.17
454,0,0.17
167,0,0.15
321,0,0.19
209,0,0.2
134,0,0.18
52,0,0.15
26,0,0.1
372,0,0.21
360,0,0.21
452,0,0.23
298,0,0.23
451,0,0.26
371,0,0.28
470,0,0.32
464,0,0.32
460,0,0.34
453,0,0.34
431,0,0.3
426,0,0.3
359,0,0.28
358,0,0.51
192,0,0.39
54,0,0.25
463,0,0.68
193,0,0.61
168,0,0.6
53,0,0.6
28,0,0.2
11,0,0.2
338,0,0.8
322,0,0.81
299,0,0.77
408,0,0.85
402,0,0.85
270,0,0.87
143,0,0.82
135,0,0.82
84,0,0.7
27,0,0.7
10,0,0.7
9,0,0.1
194,0,200
199,0,200
199,10,627
199,20,611
199,30,597
199,40,589
199,50,584
199,60,580
199,80,574
199,90,570
199,110,558
199,120,551
199,140,539
199,150,531
199,160,524
199,170,516
199,200,495
199,220,479
199,230,472
199,270,448
199,290,438
403,0,275
409,0,275
409,10,666
409,20,643
409,30,632
409,40,627
409,50,624
409,60,615
409,70,603
409,80,590
409,90,573
409,100,554
409,110,534
409,120,518
409,130,503
409,140,487
279,0,275
279,10,699
279,20,675
279,30,664
279,40,660
279,50,655
279,60,643
279,70,630
279,80,612
279,90,590
279,100,566
279,130,509
271,0,275
175,0,250
175,10,677
175,20,642
175,30,626
175,40,622
175,50,619
175,60,614
175,70,608
175,80,600
175,90,591
175,100,581
175,120,559
175,130,550
175,140,538
175,160,510
169,0,250
432,0,250
432,10,677
432,20,642
432,30,626
432,40,622
432,50,619
432,60,614
432,70,608
432,80,600
432,90,591
432,100,581
432,120,559
432,130,550
432,140,538
432,160,510
361,0,349
373,0,349
373,10,529
373,20,518
373,30,505
373,40,494
373,50,485
373,60,478
373,70,472
373,80,468
373,90,465
373,100,463
373,110,460
373,120,458
373,130,455
373,140,453
373,170,444
373,180,440
373,190,437
373,200,433
373,210,430
373,240,418
373,250,415
373,260,410
373,290,398
136,0,300
144,0,300
144,10,645
144,20,628
144,30,614
144,40,605
144,50,600
144,60,597
144,70,593
144,80,590
144,90,585
144,100,579
144,120,565
144,130,559
144,140,552
144,180,520
144,190,513
144,220,489
144,240,475
144,270,457
144,290,447
17,0,1
24,0,1
24,5,1
24,6,0
465,0,474.5
248,0,474.5
471,0,474.5
471,10,831
471,20,787
471,30,777
471,40,772
471,50,761
471,60,744
471,80,698
471,90,660
254,0,474.5
254,10,831
254,20,787
254,30,777
254,40,772
254,50,761
254,60,744
254,80,698
254,90,660
300,0,449.5
307,0,449.5
307,10,797
307,20,769
307,30,756
307,40,751
307,50,747
307,60,736
307,70,722
307,80,706
307,90,686
307,100,664
307,110,639
307,120,621
307,140,583
229,0,449.5
229,10,797
229,20,769
229,30,756
229,40,751
229,50,747
229,60,736
229,70,722
229,80,706
229,90,686
229,100,664
229,110,639
229,120,621
229,140,583
223,0,449.5
339,0,500
111,0,500
344,0,500
344,10,850
344,20,821
344,30,813
344,40,806
344,50,786
344,60,758
344,70,716
344,80,678
344,90,638
117,0,500
117,10,850
117,20,821
117,30,813
117,40,806
117,50,786
117,60,758
117,70,716
117,80,678
117,90,638
85,0,350
91,0,350
91,10,739
91,20,716
91,30,701
91,40,694
91,60,686
91,70,679
91,80,669
91,100,647
91,110,634
91,120,620
91,130,605
91,140,589
91,150,575
91,160,563
91,170,552
91,180,542
91,190,530
91,200,519
91,210,509
91,220,500
510,0,650
488,0,650
493,0,650
493,10,870
493,20,839
493,30,830
493,40,825
493,50,809
493,60,788
493,70,757
493,80,717
493,90,686
493,100,651
242,79,0
417,79,0
417,80,0.15
289,79,0
289,80,0.13
244,79,0
244,80,0.1
317,79,0
317,80,0.23
418,79,0
418,80,0.85
318,79,0
318,80,0.77
319,79,0
319,80,1
314,79,0
314,80,1
314,100,1
314,101,0
290,79,0
290,80,0.87
245,79,0
245,80,0.7
243,79,0
243,80,0.2
246,79,0
246,80,1
239,79,0
239,80,1
239,100,1
239,101,0
416,79,0
416,80,30.9
416,90,32.4
416,100,34
416,110,35.4
416,120,36.7
416,140,39.1
500,79,0
500,80,35.1
500,90,37.2
500,100,39.4
423,79,0
423,80,50.4
423,90,57.5
423,100,64.2
423,110,70.2
423,120,75.7
423,130,80.9
423,140,85.6
295,79,0
295,80,58.1
295,90,66.3
295,100,73.8
295,110,80.7
295,120,87.1
295,130,92.9
286,79,0
286,80,31.9
286,100,35.3
286,120,38.3
286,130,39.7
238,79,0
238,80,30.9
238,110,35.4
238,120,36.7
238,140,39.1
507,79,0
507,80,91.8
507,90,104.1
507,100,116
422,79,0
422,80,100.8
422,90,115
422,100,128.4
422,110,140.4
422,120,151.5
422,130,161.7
422,140,171.2
294,79,0
294,80,116.2
294,90,132.7
294,100,147.6
294,110,161.3
294,120,174.1
294,130,185.7
413,79,0
413,80,75.6
413,90,86.2
413,100,96.3
413,110,105.3
413,120,113.6
413,130,121.3
413,140,128.4
283,79,0
283,80,75.6
283,90,86.2
283,100,95.9
283,110,104.8
283,120,113.2
283,130,120.7
235,79,0
235,80,60.4
235,90,68.8
235,100,76.9
235,110,84
235,120,90.7
235,130,96.8
235,140,102.5
506,79,0
506,80,183.6
506,90,208.2
506,100,232
498,79,0
498,80,211.1
498,90,239.5
498,100,266.8
424,79,0
424,80,353
424,90,402.4
424,100,449.6
424,110,491.2
424,120,530.2
424,130,565.9
424,140,599.1
311,79,0
311,80,138.9
311,90,158.3
311,100,176.8
311,110,193.3
311,120,208.6
311,130,222.7
311,140,235.7
296,79,0
296,80,406.9
296,90,464.4
296,100,516.5
296,110,564.5
296,120,609.5
296,130,650
414,79,0
414,80,428.6
414,90,488.7
414,100,545.9
414,110,596.5
414,120,643.8
414,130,687.2
414,140,727.5
415,79,0
415,80,504.2
415,90,574.9
415,100,642.2
415,110,701.8
415,120,757.4
415,130,808.5
415,140,855.9
312,79,0
312,80,464.9
312,90,530
312,100,592.1
312,110,647.1
312,120,698.3
312,130,745.4
312,140,789.2
285,79,0
285,80,581.2
285,90,663.4
285,100,737.9
285,110,806.5
285,120,870.7
285,130,928.6
284,79,0
284,80,505.6
284,90,577.2
284,100,642
284,110,701.7
284,120,757.5
284,130,807.9
508,79,0
508,80,642.4
508,90,728.8
508,100,811.9
499,79,0
499,80,917.8
499,90,1041.1
499,100,1159.9
497,79,0
497,80,706.7
497,90,801.6
497,100,893.1
502,79,0
502,101,0
502,102,1
288,79,0
288,130,0
288,131,1
316,79,0
316,140,0
316,141,1
241,79,0
241,140,0
241,141,1
315,79,0
315,100,0
315,101,1
315,140,1
315,141,0
501,79,0
501,100,0
501,101,1
501,102,0
287,79,0
287,100,0
287,101,1
287,130,1
287,131,0
240,79,0
240,100,0
240,101,1
240,140,1
240,141,0
313,79,0
313,80,603.8
313,90,688.3
313,100,768.9
313,110,840.4
313,120,906.9
313,130,968.1
313,140,1024.9
237,79,0
237,80,603.8
237,90,688.3
237,100,768.9
237,110,840.4
237,120,906.9
237,130,968.1
237,140,1024.9
236,79,0
236,80,422.6
236,90,481.8
236,100,538.2
236,110,588.3
236,120,634.8
236,130,677.7
236,140,717.4
234,79,0
234,80,120.8
234,90,137.7
234,100,153.8
234,110,168.1
234,120,181.4
234,130,193.6
234,140,205
104,89,0
335,89,0
335,90,0.19
187,89,0
187,90,0.15
106,89,0
106,90,0.1
440,89,0
440,90,0.3
189,89,0
189,90,0.25
188,89,0
188,90,0.6
336,89,0
336,90,0.81
107,89,0
107,90,0.7
105,89,0
105,90,0.2
439,89,0
439,90,28.6
439,100,29.8
439,110,30.9
439,120,31.9
439,140,33.7
439,150,34.7
439,160,35.5
334,89,0
334,90,29.7
334,100,30.7
334,120,32.9
334,130,33.9
334,150,35.7
334,160,36.5
334,200,39.3
334,210,39.9
334,220,40.4
184,89,0
184,90,28.6
184,100,29.8
184,110,30.9
184,120,31.9
184,140,33.7
184,150,34.7
184,160,35.5
108,89,0
108,90,1
101,89,0
101,90,1
101,110,1
101,111,0
100,89,0
100,90,29.7
100,100,30.7
100,120,32.9
100,130,33.9
100,150,35.7
100,160,36.5
100,200,39.3
100,210,39.9
100,220,40.4
331,89,0
331,90,92.2
331,100,103.4
331,110,113.8
331,120,123.6
331,130,132.4
331,140,140.3
331,150,147.4
331,160,154.1
331,170,160.1
331,180,165.6
331,190,170.8
331,200,175.2
331,210,179.3
331,220,183
180,89,0
180,90,66.6
180,100,75.4
180,110,83.4
180,120,90.9
180,130,97.8
180,140,104.1
180,150,109.8
180,160,115
97,89,0
97,90,48.5
97,100,54.4
97,110,59.9
97,120,65
97,130,69.7
97,140,73.8
97,150,77.6
97,160,81.1
97,170,84.3
97,180,87.2
97,190,89.9
97,200,92.2
97,210,94.4
97,220,96.3
437,89,0
437,90,133.3
