TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,999,CC,false,2,A,0,0,,0,
4,70,999,CC,false,4,A,0,0,,0,
4,40,40,CT,false,5,R,0,0,,0,
5,70,999,CC,false,4,A,0,0,,0,
5,54,54,F1,false,6,R,0,0,,0,
6,70,999,CC,false,4,A,0,0,,0,
6,64,64,F2,false,7,R,0,0,,0,
7,70,999,CC,false,4,A,0,0,,0,
7,74,74,F3,false,8,R,0,0,,0,
8,70,999,CC,false,4,A,0,0,,0,
10,90,999,CC,false,10,A,0,0,,0,
12,70,999,CC,false,12,A,0,0,,0,
15,100,999,CC,false,16,A,0,0,,0,
16,100,999,CC,false,16,A,0,0,,0,
18,90,999,CC,false,18,A,0,0,,0,
18,40,40,CT,false,19,R,0,0,,0,
19,90,999,CC,false,18,A,0,0,,0,
19,56,56,F1,false,20,R,0,0,,0,
20,90,999,CC,false,18,A,0,0,,0,
20,66,66,F2,false,21,R,0,0,,0,
21,90,999,CC,false,18,A,0,0,,0,
21,76,76,F3,false,22,R,0,0,,0,
22,90,999,CC,false,18,A,0,0,,0,
25,80,999,CC,false,25,A,0,0,,0,
27,70,999,CC,false,27,A,0,0,,0,
27,40,40,CT,false,28,R,0,0,,0,
28,70,999,CC,false,27,A,0,0,,0,
28,51,51,F1,false,29,R,0,0,,0,
29,70,999,CC,false,27,A,0,0,,0,
29,61,61,F2,false,30,R,0,0,,0,
30,70,999,CC,false,27,A,0,0,,0,
30,71,71,F3,false,31,R,0,0,,0,
31,70,999,CC,false,27,A,0,0,,0,
33,70,999,CC,false,33,A,0,0,,0,
33,40,40,CT,false,34,R,0,0,,0,
34,70,999,CC,false,33,A,0,0,,0,
34,51,51,F1,false,35,R,0,0,,0,
35,70,999,CC,false,33,A,0,0,,0,
35,61,61,F2,false,36,R,0,0,,0,
36,70,999,CC,false,33,A,0,0,,0,
36,71,71,F3,false,37,R,0,0,,0,
37,70,999,CC,false,33,A,0,0,,0,
39,80,999,CC,false,40,A,0,0,,0,
40,80,999,CC,false,40,A,0,0,,0,
42,100,999,CC,false,43,A,0,0,,0,
43,100,999,CC,false,43,A,0,0,,0,
43,40,40,CT,false,44,R,0,0,,0,
44,100,999,CC,false,43,A,0,0,,0,
44,66,66,F1,false,45,R,0,0,,0,
45,100,999,CC,false,43,A,0,0,,0,
45,76,76,F2,false,46,R,0,0,,0,
46,100,999,CC,false,43,A,0,0,,0,
46,86,86,F3,false,47,R,0,0,,0,
47,100,999,CC,false,43,A,0,0,,0,
49,80,999,CC,false,50,A,0,0,,0,
50,80,999,CC,false,50,A,0,0,,0,
52,90,999,CC,false,53,A,0,0,,0,
53,90,999,CC,false,53,A,0,0,,0,
55,70,999,CC,false,55,A,0,0,,0,
55,40,40,CT,false,56,R,0,0,,0,
56,70,999,CC,false,55,A,0,0,,0,
56,54,54,F1,false,57,R,0,0,,0,
57,70,999,CC,false,55,A,0,0,,0,
57,64,64,F2,false,58,R,0,0,,0,
