CURVE,X,Y
368,0,0.1
526,0,0.15
535,0,0.15
75,0,0.2
46,0,0.15
20,0,0.1
1384,0,0.25
2420,0,0.3
2420,1,0.3
2420,10,3.3
2420,20,6.5
2420,30,9.8
2420,40,13
2420,60,19.6
2420,70,22.8
2420,80,26.1
2420,90,29.3
2420,110,35.9
2420,120,39.1
2420,130,42.4
2420,140,45.6
2420,160,52.2
2420,170,55.4
2420,180,58.7
2420,190,61.9
2420,210,68.5
2420,220,71.7
2420,230,75
2420,240,78.2
2420,260,84.8
2420,270,88
2420,280,91.3
2420,290,94.5
2420,299,97.5
1530,0,0.3
1530,1,0.3
1530,10,3.2
1530,290,92.8
1530,299,95.7
3138,0,0.3
3138,1,0.3
3138,10,3.3
3138,20,6.5
3138,30,9.8
3138,40,13
3138,60,19.6
3138,70,22.8
3138,80,26.1
3138,90,29.3
3138,110,35.9
3138,120,39.1
3138,130,42.4
3138,140,45.6
3138,160,52.2
3138,170,55.4
3138,180,58.7
3138,190,61.9
3138,210,68.5
3138,220,71.7
3138,230,75
3138,240,78.2
3138,260,84.8
3138,270,88
3138,280,91.3
3138,290,94.5
3138,299,97.5
1440,0,0.3
1440,1,0.3
1440,10,3.3
1440,20,6.5
1440,30,9.8
1440,40,13
1440,60,19.6
1440,70,22.8
1440,80,26.1
1440,90,29.3
1440,110,35.9
1440,120,39.1
1440,130,42.4
1440,140,45.6
1440,160,52.2
1440,170,55.4
1440,180,58.7
1440,190,61.9
1440,210,68.5
1440,220,71.7
1440,230,75
1440,240,78.2
1440,260,84.8
1440,270,88
1440,280,91.3
1440,290,94.5
1440,299,97.5
1194,0,0.3
1194,1,0.3
1194,10,3.3
1194,20,6.5
1194,30,9.8
1194,40,13
1194,60,19.6
1194,70,22.8
1194,80,26.1
1194,90,29.3
1194,110,35.9
1194,120,39.1
1194,130,42.4
1194,140,45.6
1194,160,52.2
1194,170,55.4
1194,180,58.7
1194,190,61.9
1194,210,68.5
1194,220,71.7
1194,230,75
1194,240,78.2
1194,260,84.8
1194,270,88
1194,280,91.3
1194,290,94.5
1194,299,97.5
1142,0,0.3
1142,1,0.3
1142,10,3.3
1142,20,6.5
1142,30,9.8
1142,40,13
1142,60,19.6
1142,70,22.8
1142,80,26.1
1142,90,29.3
1142,110,35.9
1142,120,39.1
1142,130,42.4
1142,140,45.6
1142,160,52.2
1142,170,55.4
1142,180,58.7
1142,190,61.9
1142,210,68.5
1142,220,71.7
1142,230,75
1142,240,78.2
1142,260,84.8
1142,270,88
1142,280,91.3
1142,290,94.5
1142,299,97.5
377,0,0.4
4973,0,0.4
4973,1,0.4
4973,10,4.1
4973,290,118.9
4973,299,122.6
3399,0,0.4
3399,1,0.4
3399,10,4.1
3399,290,118.9
3399,299,122.6
1931,0,0.3
1931,1,0.3
1931,10,3.2
1931,290,92.8
1931,299,95.7
1675,0,0.3
1675,1,0.3
1675,10,3.2
1675,290,92.8
1675,299,95.7
1188,0,0.3
1188,1,0.3
1188,10,3.2
1188,290,92.8
1188,299,95.7
1662,0,0.3
1662,1,0.3
1662,10,3.2
1662,290,92.8
1662,299,95.7
1469,0,0.3
1469,1,0.3
1469,10,3.2
1469,290,92.8
1469,299,95.7
359,0,0.3
359,1,0.3
359,10,3.2
359,290,92.8
359,299,95.7
4278,0,0.3
4278,1,0.3
4278,10,3.3
4278,20,6.5
4278,30,9.8
4278,40,13
4278,60,19.6
4278,70,22.8
4278,80,26.1
4278,90,29.3
4278,110,35.9
4278,120,39.1
4278,130,42.4
4278,140,45.6
4278,160,52.2
4278,170,55.4
4278,180,58.7
4278,190,61.9
4278,210,68.5
4278,220,71.7
4278,230,75
4278,240,78.2
4278,260,84.8
4278,270,88
4278,280,91.3
4278,290,94.5
4278,299,97.5
2662,0,0.3
2662,1,0.3
2662,10,3.3
2662,20,6.5
2662,30,9.8
2662,40,13
2662,60,19.6
2662,70,22.8
2662,80,26.1
2662,90,29.3
2662,110,35.9
2662,120,39.1
2662,130,42.4
2662,140,45.6
2662,160,52.2
2662,170,55.4
2662,180,58.7
2662,190,61.9
2662,210,68.5
2662,220,71.7
2662,230,75
2662,240,78.2
2662,260,84.8
2662,270,88
2662,280,91.3
2662,290,94.5
2662,299,97.5
4264,0,0.3
4264,1,0.3
4264,10,3.3
4264,20,6.5
4264,30,9.8
4264,40,13
4264,60,19.6
4264,70,22.8
4264,80,26.1
4264,90,29.3
4264,110,35.9
4264,120,39.1
4264,130,42.4
4264,140,45.6
4264,160,52.2
4264,170,55.4
4264,180,58.7
4264,190,61.9
4264,210,68.5
4264,220,71.7
4264,230,75
4264,240,78.2
4264,260,84.8
4264,270,88
4264,280,91.3
4264,290,94.5
4264,299,97.5
256,0,0.3
256,1,0.3
256,10,3.3
256,20,6.5
256,30,9.8
256,40,13
256,60,19.6
256,70,22.8
256,80,26.1
256,90,29.3
256,110,35.9
256,120,39.1
256,130,42.4
256,140,45.6
256,160,52.2
256,170,55.4
256,180,58.7
256,190,61.9
256,210,68.5
256,220,71.7
256,230,75
256,240,78.2
256,260,84.8
256,270,88
256,280,91.3
256,290,94.5
256,299,97.5
4459,0,0.5
4459,1,0.5
4459,10,4.8
4459,20,9.6
4459,30,14.3
4459,70,33.5
4459,80,38.2
4459,120,57.4
4459,130,62.1
4459,170,81.3
4459,180,86
4459,220,105.2
4459,230,109.9
4459,270,129.1
4459,280,133.8
4459,290,138.6
4459,299,142.9
2435,0,0.5
2435,1,0.5
2435,10,4.8
2435,20,9.6
2435,30,14.3
2435,70,33.5
2435,80,38.2
2435,120,57.4
2435,130,62.1
2435,170,81.3
2435,180,86
2435,220,105.2
2435,230,109.9
2435,270,129.1
2435,280,133.8
2435,290,138.6
2435,299,142.9
885,0,0.5
885,1,0.5
885,10,4.8
885,20,9.6
885,30,14.3
885,70,33.5
885,80,38.2
885,120,57.4
885,130,62.1
885,170,81.3
885,180,86
885,220,105.2
885,230,109.9
885,270,129.1
885,280,133.8
885,290,138.6
885,299,142.9
177,0,0.4
3574,0,0.4
3574,1,0.4
3574,10,4.1
3574,290,118.9
3574,299,122.6
3127,0,0.4
3127,1,0.4
3127,10,4.1
3127,290,118.9
3127,299,122.6
2283,0,0.4
2283,1,0.4
2283,10,4.1
2283,290,118.9
2283,299,122.6
837,0,0.4
1164,0,0.4
1164,1,0.4
1164,10,4.1
1164,290,118.9
1164,299,122.6
2676,0,0.4
2676,1,0.4
2676,10,4.1
2676,290,118.9
2676,299,122.6
692,0,0.4
692,1,0.4
692,10,4.1
692,290,118.9
692,299,122.6
128,0,0.4
128,1,0.4
128,10,4.1
128,290,118.9
128,299,122.6
48,0,0.25
21,0,0.2
12,0,0.2
1679,0,0.2
1679,1,0.2
1679,10,1.9
1679,20,3.9
1679,30,5.8
1679,40,7.8
1679,60,11.6
1679,70,13.6
1679,80,15.5
1679,90,17.5
1679,110,21.3
1679,120,23.3
1679,130,25.2
1679,140,27.2
1679,160,31
1679,170,33
1679,180,34.9
1679,190,36.9
1679,210,40.7
1679,220,42.7
1679,230,44.6
1679,240,46.6
1679,260,50.4
1679,270,52.4
1679,280,54.3
1679,290,56.3
1679,299,58
794,0,0.2
794,1,0.2
794,10,1.7
794,290,49.3
794,299,50.8
10,0,0.1
527,0,0.6
2297,0,0.6
2297,1,0.6
2297,10,6.3
2297,20,12.6
2297,30,18.8
2297,70,44
2297,80,50.2
2297,120,75.4
2297,130,81.6
2297,170,106.8
2297,180,113
2297,220,138.2
2297,230,144.4
2297,270,169.6
2297,280,175.8
2297,290,182.1
2297,299,187.8
2054,0,0.6
2054,1,0.6
2054,10,6.3
2054,20,12.6
2054,30,18.8
2054,70,44
2054,80,50.2
2054,120,75.4
2054,130,81.6
2054,170,106.8
2054,180,113
2054,220,138.2
2054,230,144.4
2054,270,169.6
2054,280,175.8
2054,290,182.1
2054,299,187.8
4569,0,0.6
4569,1,0.6
4569,10,6.3
4569,20,12.6
4569,30,18.8
4569,70,44
4569,80,50.2
4569,120,75.4
4569,130,81.6
4569,170,106.8
4569,180,113
4569,220,138.2
4569,230,144.4
4569,270,169.6
4569,280,175.8
4569,290,182.1
4569,299,187.8
956,0,0.6
956,1,0.6
956,10,6.3
956,20,12.6
956,30,18.8
956,70,44
956,80,50.2
956,120,75.4
956,130,81.6
956,170,106.8
956,180,113
956,220,138.2
956,230,144.4
956,270,169.6
956,280,175.8
956,290,182.1
956,299,187.8
536,0,0.6
4987,0,0.6
4987,1,0.6
4987,10,6.3
4987,20,12.6
4987,30,18.8
4987,70,44
4987,80,50.2
4987,120,75.4
4987,130,81.6
4987,170,106.8
4987,180,113
4987,220,138.2
4987,230,144.4
4987,270,169.6
4987,280,175.8
4987,290,182.1
4987,299,187.8
4738,0,0.6
4738,1,0.6
4738,10,6.3
4738,20,12.6
4738,30,18.8
4738,70,44
4738,80,50.2
4738,120,75.4
4738,130,81.6
4738,170,106.8
4738,180,113
4738,220,138.2
4738,230,144.4
4738,270,169.6
4738,280,175.8
4738,290,182.1
4738,299,187.8
4397,0,0.6
4397,1,0.6
4397,10,6.3
4397,20,12.6
4397,30,18.8
4397,70,44
4397,80,50.2
4397,120,75.4
4397,130,81.6
4397,170,106.8
4397,180,113
4397,220,138.2
4397,230,144.4
4397,270,169.6
4397,280,175.8
4397,290,182.1
4397,299,187.8
4246,0,0.6
4246,1,0.6
4246,10,5.7
4246,20,11.3
4246,30,17
4246,40,22.6
4246,60,34
4246,70,39.6
4246,80,45.3
4246,90,50.9
4246,110,62.3
4246,120,67.9
4246,130,73.6
4246,140,79.2
4246,160,90.6
4246,170,96.2
4246,180,101.9
4246,190,107.5
4246,210,118.9
4246,220,124.5
4246,230,130.2
4246,240,135.8
4246,260,147.2
4246,270,152.8
4246,280,158.5
4246,290,164.1
4246,299,169.2
160,0,0.7
5077,0,0.7
5077,1,0.7
5077,10,6.5
5077,20,13.1
5077,30,19.6
5077,40,26.2
5077,60,39.2
5077,70,45.8
5077,80,52.3
5077,90,58.9
5077,110,71.9
5077,120,78.5
5077,130,85
5077,140,91.6
5077,160,104.6
5077,170,111.2
5077,180,117.7
5077,190,124.3
5077,210,137.3
5077,220,143.9
5077,230,150.4
5077,240,157
5077,260,170
5077,270,176.6
5077,280,183.1
5077,290,189.7
5077,299,195.5
47,0,0.6
4036,0,0.6
4036,1,0.6
4036,10,5.7
4036,20,11.3
4036,30,17
4036,40,22.6
4036,60,34
4036,70,39.6
4036,80,45.3
4036,90,50.9
4036,110,62.3
4036,120,67.9
4036,130,73.6
4036,140,79.2
4036,160,90.6
4036,170,96.2
4036,180,101.9
4036,190,107.5
4036,210,118.9
4036,220,124.5
4036,230,130.2
4036,240,135.8
4036,260,147.2
4036,270,152.8
4036,280,158.5
4036,290,164.1
4036,299,169.2
2451,0,0.6
2451,1,0.6
2451,10,6.3
2451,20,12.6
2451,30,18.8
2451,70,44
2451,80,50.2
2451,120,75.4
2451,130,81.6
2451,170,106.8
2451,180,113
2451,220,138.2
2451,230,144.4
2451,270,169.6
2451,280,175.8
2451,290,182.1
2451,299,187.8
3207,0,0.6
3207,1,0.6
3207,10,6.3
3207,20,12.6
3207,30,18.8
3207,70,44
3207,80,50.2
3207,120,75.4
3207,130,81.6
3207,170,106.8
3207,180,113
3207,220,138.2
3207,230,144.4
3207,270,169.6
3207,280,175.8
3207,290,182.1
3207,299,187.8
819,0,0.6
819,1,0.6
819,10,6.3
819,20,12.6
819,30,18.8
819,70,44
819,80,50.2
819,120,75.4
819,130,81.6
819,170,106.8
819,180,113
819,220,138.2
819,230,144.4
819,270,169.6
819,280,175.8
819,290,182.1
819,299,187.8
5111,0,0.6
5111,1,0.6
5111,10,6.3
5111,20,12.6
5111,30,18.8
5111,70,44
5111,80,50.2
5111,120,75.4
5111,130,81.6
5111,170,106.8
5111,180,113
5111,220,138.2
5111,230,144.4
5111,270,169.6
5111,280,175.8
5111,290,182.1
5111,299,187.8
4336,0,0.6
4336,1,0.6
4336,10,6.3
4336,20,12.6
4336,30,18.8
4336,70,44
4336,80,50.2
4336,120,75.4
4336,130,81.6
4336,170,106.8
4336,180,113
4336,220,138.2
4336,230,144.4
4336,270,169.6
4336,280,175.8
4336,290,182.1
4336,299,187.8
3590,0,0.6
3590,1,0.6
3590,10,6.3
3590,20,12.6
3590,30,18.8
3590,70,44
3590,80,50.2
3590,120,75.4
3590,130,81.6
3590,170,106.8
3590,180,113
3590,220,138.2
3590,230,144.4
3590,270,169.6
3590,280,175.8
3590,290,182.1
3590,299,187.8
2935,0,0.6
2935,1,0.6
2935,10,6.3
2935,20,12.6
2935,30,18.8
2935,70,44
2935,80,50.2
2935,120,75.4
2935,130,81.6
2935,170,106.8
2935,180,113
2935,220,138.2
2935,230,144.4
2935,270,169.6
2935,280,175.8
2935,290,182.1
2935,299,187.8
4198,0,0.6
4198,1,0.6
4198,10,6.3
4198,20,12.6
4198,30,18.8
4198,70,44
4198,80,50.2
4198,120,75.4
4198,130,81.6
4198,170,106.8
4198,180,113
4198,220,138.2
4198,230,144.4
4198,270,169.6
4198,280,175.8
4198,290,182.1
4198,299,187.8
2359,0,0.6
2359,1,0.6
2359,10,6.3
2359,20,12.6
2359,30,18.8
2359,70,44
2359,80,50.2
2359,120,75.4
2359,130,81.6
2359,170,106.8
2359,180,113
2359,220,138.2
2359,230,144.4
2359,270,169.6
2359,280,175.8
2359,290,182.1
2359,299,187.8
4621,0,0.6
4621,1,0.6
4621,10,6.3
4621,20,12.6
4621,30,18.8
4621,70,44
4621,80,50.2
4621,120,75.4
4621,130,81.6
4621,170,106.8
4621,180,113
4621,220,138.2
4621,230,144.4
4621,270,169.6
4621,280,175.8
4621,290,182.1
4621,299,187.8
2119,0,0.6
2119,1,0.6
2119,10,6.3
2119,20,12.6
2119,30,18.8
2119,70,44
2119,80,50.2
2119,120,75.4
2119,130,81.6
2119,170,106.8
2119,180,113
2119,220,138.2
2119,230,144.4
2119,270,169.6
2119,280,175.8
2119,290,182.1
2119,299,187.8
1807,0,0.6
1807,1,0.6
1807,10,6.3
1807,20,12.6
1807,30,18.8
1807,70,44
1807,80,50.2
1807,120,75.4
1807,130,81.6
1807,170,106.8
1807,180,113
1807,220,138.2
1807,230,144.4
1807,270,169.6
1807,280,175.8
1807,290,182.1
1807,299,187.8
3722,0,0.6
3722,1,0.6
3722,10,6.3
3722,20,12.6
3722,30,18.8
3722,70,44
3722,80,50.2
3722,120,75.4
3722,130,81.6
3722,170,106.8
3722,180,113
3722,220,138.2
3722,230,144.4
3722,270,169.6
3722,280,175.8
3722,290,182.1
3722,299,187.8
2739,0,0.6
2739,1,0.6
2739,10,6.3
2739,20,12.6
2739,30,18.8
2739,70,44
2739,80,50.2
2739,120,75.4
2739,130,81.6
2739,170,106.8
2739,180,113
2739,220,138.2
2739,230,144.4
2739,270,169.6
2739,280,175.8
2739,290,182.1
2739,299,187.8
1208,0,0.6
1208,1,0.6
1208,10,6.3
1208,20,12.6
1208,30,18.8
1208,70,44
1208,80,50.2
1208,120,75.4
1208,130,81.6
1208,170,106.8
1208,180,113
1208,220,138.2
1208,230,144.4
1208,270,169.6
1208,280,175.8
1208,290,182.1
1208,299,187.8
763,0,0.6
763,1,0.6
763,10,6.3
763,20,12.6
763,30,18.8
763,70,44
763,80,50.2
763,120,75.4
763,130,81.6
763,170,106.8
763,180,113
763,220,138.2
763,230,144.4
763,270,169.6
763,280,175.8
763,290,182.1
763,299,187.8
158,0,0.6
158,1,0.6
158,10,6.3
158,20,12.6
158,30,18.8
158,70,44
158,80,50.2
158,120,75.4
158,130,81.6
158,170,106.8
158,180,113
158,220,138.2
158,230,144.4
158,270,169.6
158,280,175.8
158,290,182.1
158,299,187.8
132,0,0.7
3413,0,0.7
3413,1,0.7
3413,10,7.1
3413,20,14.3
3413,30,21.4
3413,40,28.6
3413,60,42.8
3413,70,50
3413,80,57.1
3413,90,64.3
3413,110,78.5
3413,120,85.7
3413,130,92.8
3413,140,100
3413,160,114.2
3413,170,121.4
3413,180,128.5
3413,190,135.7
3413,210,149.9
3413,220,157.1
3413,230,164.2
3413,240,171.4
3413,260,185.6
3413,270,192.8
3413,280,199.9
3413,290,207.1
3413,299,213.5
2607,0,0.7
2607,1,0.7
2607,10,7.1
2607,20,14.3
2607,30,21.4
2607,40,28.6
2607,60,42.8
2607,70,50
2607,80,57.1
2607,90,64.3
2607,110,78.5
2607,120,85.7
2607,130,92.8
2607,140,100
2607,160,114.2
2607,170,121.4
2607,180,128.5
2607,190,135.7
2607,210,149.9
2607,220,157.1
2607,230,164.2
2607,240,171.4
2607,260,185.6
2607,270,192.8
2607,280,199.9
2607,290,207.1
2607,299,213.5
451,0,0.7
451,1,0.7
451,10,6.5
451,20,13.1
451,30,19.6
451,40,26.2
451,60,39.2
451,70,45.8
451,80,52.3
451,90,58.9
451,110,71.9
451,120,78.5
451,130,85
451,140,91.6
451,160,104.6
451,170,111.2
451,180,117.7
451,190,124.3
451,210,137.3
451,220,143.9
451,230,150.4
451,240,157
451,260,170
451,270,176.6
451,280,183.1
451,290,189.7
451,299,195.5
1293,0,0.8
594,0,1
602,0,1
602,5,1
602,6,0
310,0,0.8
76,0,0.8
11,0,0.7
3670,0,0.7
3670,1,0.7
3670,10,7.1
3670,20,14.3
3670,30,21.4
3670,40,28.6
3670,60,42.8
3670,70,50
3670,80,57.1
3670,90,64.3
3670,110,78.5
3670,120,85.7
3670,130,92.8
3670,140,100
3670,160,114.2
3670,170,121.4
3670,180,128.5
3670,190,135.7
3670,210,149.9
3670,220,157.1
3670,230,164.2
3670,240,171.4
3670,260,185.6
3670,270,192.8
3670,280,199.9
3670,290,207.1
3670,299,213.5
2691,0,0.7
2691,1,0.7
2691,10,6.5
2691,20,13.1
2691,30,19.6
2691,40,26.2
2691,60,39.2
2691,70,45.8
2691,80,52.3
2691,90,58.9
2691,110,71.9
2691,120,78.5
2691,130,85
2691,140,91.6
2691,160,104.6
2691,170,111.2
2691,180,117.7
2691,190,124.3
2691,210,137.3
2691,220,143.9
2691,230,150.4
2691,240,157
2691,260,170
2691,270,176.6
2691,280,183.1
2691,290,189.7
2691,299,195.5
1878,0,0.7
1878,1,0.7
1878,10,6.5
1878,20,13.1
1878,30,19.6
1878,40,26.2
1878,60,39.2
1878,70,45.8
1878,80,52.3
1878,90,58.9
1878,110,71.9
1878,120,78.5
1878,130,85
1878,140,91.6
1878,160,104.6
1878,170,111.2
1878,180,117.7
1878,190,124.3
1878,210,137.3
1878,220,143.9
1878,230,150.4
1878,240,157
1878,260,170
1878,270,176.6
1878,280,183.1
1878,290,189.7
1878,299,195.5
4473,0,0.7
4473,1,0.7
4473,10,6.5
4473,20,13.1
4473,30,19.6
4473,40,26.2
4473,60,39.2
4473,70,45.8
4473,80,52.3
4473,90,58.9
4473,110,71.9
4473,120,78.5
4473,130,85
4473,140,91.6
4473,160,104.6
4473,170,111.2
4473,180,117.7
4473,190,124.3
4473,210,137.3
4473,220,143.9
4473,230,150.4
4473,240,157
4473,260,170
4473,270,176.6
4473,280,183.1
4473,290,189.7
4473,299,195.5
3265,0,0.7
3265,1,0.7
3265,10,6.5
3265,20,13.1
3265,30,19.6
3265,40,26.2
3265,60,39.2
3265,70,45.8
3265,80,52.3
3265,90,58.9
3265,110,71.9
3265,120,78.5
3265,130,85
3265,140,91.6
3265,160,104.6
3265,170,111.2
3265,180,117.7
3265,190,124.3
3265,210,137.3
3265,220,143.9
3265,230,150.4
3265,240,157
3265,260,170
3265,270,176.6
3265,280,183.1
3265,290,189.7
3265,299,195.5
4521,0,0.7
4521,1,0.7
4521,10,6.5
4521,20,13.1
4521,30,19.6
4521,40,26.2
4521,60,39.2
4521,70,45.8
4521,80,52.3
4521,90,58.9
4521,110,71.9
4521,120,78.5
4521,130,85
4521,140,91.6
4521,160,104.6
4521,170,111.2
4521,180,117.7
4521,190,124.3
4521,210,137.3
4521,220,143.9
4521,230,150.4
4521,240,157
4521,260,170
4521,270,176.6
